Description,Incident#,Location,Agency,Date
THEFT/LARCENY,PD190918334590,6600 BLOCK NW 22ND AVE,Miami-Dade Police,9-18-2019 8:50 AM
VANDALISM,PD190918334470,3200 BLOCK NW 79TH ST,Miami-Dade Police,9-18-2019 5:30 AM
MOTOR VEHICLE THEFT,PD190918334490,2200 BLOCK NW 87TH ST,Miami-Dade Police,9-18-2019 4:00 AM
ROBBERY,PD190918334446,NW 31ST AVE & NW 60TH ST,Miami-Dade Police,9-18-2019 3:38 AM
DRUGS/ALCOHOL VIOLATIONS,PD190918334441,4700 BLOCK NW 27TH AVE,Miami-Dade Police,9-18-2019 3:14 AM
THEFT/LARCENY,PD190918334409,4200 BLOCK SW 8TH ST,Miami-Dade Police,9-18-2019 1:50 AM
VANDALISM,PD190918334375,2900 BLOCK NW 61ST ST,Miami-Dade Police,9-18-2019 12:44 AM
ROBBERY,PD190918334365,3500 BLOCK NW 79TH ST,Miami-Dade Police,9-18-2019 12:29 AM
THEFT/LARCENY,PD190917334206,2700 BLOCK NW 79TH ST,Miami-Dade Police,9-17-2019 9:15 PM
VEHICLE BREAK-IN/THEFT,PD190918334671,2400 BLOCK NW 78TH ST,Miami-Dade Police,9-17-2019 8:00 PM
ASSAULT,PD190917333942,NW 81ST ST & NW 7TH AVE,Miami-Dade Police,9-17-2019 4:40 PM
VEHICLE BREAK-IN/THEFT,PD190917333868,1700 BLOCK NW 80TH ST,Miami-Dade Police,9-17-2019 4:20 PM
BURGLARY,PD190917333991,2300 BLOCK NW 84TH ST,Miami-Dade Police,9-17-2019 3:36 PM
VANDALISM,PD190917333707,4300 BLOCK NW 32ND AVE,Miami-Dade Police,9-17-2019 1:50 PM
MOTOR VEHICLE THEFT,PD190917333700,3000 BLOCK NW N RIVER DR,Miami-Dade Police,9-17-2019 1:00 PM
VANDALISM,PD190917333635,7100 BLOCK NW 35TH AVE,Miami-Dade Police,9-17-2019 12:00 PM
VEHICLE BREAK-IN/THEFT,PD190917333295,5200 BLOCK NW 29TH AVE,Miami-Dade Police,9-17-2019 9:21 AM
VEHICLE BREAK-IN/THEFT,PD190917333292,6700 BLOCK NW 27TH AVE,Miami-Dade Police,9-17-2019 9:19 AM
THEFT/LARCENY,PD190917333213,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-17-2019 8:07 AM
BURGLARY,PD190917333364,5700 BLOCK SW 20TH ST,Miami-Dade Police,9-17-2019 6:00 AM
MOTOR VEHICLE THEFT,PD190917333440,2300 BLOCK NW 37TH AVE,Miami-Dade Police,9-17-2019 12:10 AM
MOTOR VEHICLE THEFT,PD190917333409,2300 BLOCK NW 37TH AVE,Miami-Dade Police,9-17-2019 12:10 AM
MOTOR VEHICLE THEFT,PD190917333461,2300 BLOCK NW 37TH AVE,Miami-Dade Police,9-17-2019 12:00 AM
BURGLARY,PD190917333528,6900 BLOCK NW 27TH AVE,Miami-Dade Police,9-16-2019 7:00 PM
VEHICLE BREAK-IN/THEFT,PD190917333803,5500 BLOCK BLUE LAGOON DR,Miami-Dade Police,9-16-2019 7:00 PM
VEHICLE BREAK-IN/THEFT,PD190917333703,7000 BLOCK NW 22ND AVE,Miami-Dade Police,9-16-2019 6:45 PM
THEFT/LARCENY,PD190917333115,5100 BLOCK NW 72ND AVE,Miami-Dade Police,9-16-2019 6:30 PM
ROBBERY,PD190916332683,3000 BLOCK NW 44TH ST,Miami-Dade Police,9-16-2019 6:28 PM
DRUGS/ALCOHOL VIOLATIONS,PD190916332695,4400 BLOCK SW 8TH ST,Miami-Dade Police,9-16-2019 6:15 PM
VEHICLE BREAK-IN/THEFT,PD190916332657,3800 BLOCK NW 27TH AVE,Miami-Dade Police,9-16-2019 6:08 PM
THEFT/LARCENY,PD190916332680,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-16-2019 5:32 PM
ASSAULT,PD190916332527,1200 BLOCK NW 84TH TER,Miami-Dade Police,9-16-2019 4:30 PM
BURGLARY,PD190917333334,14500 BLOCK SW 20TH ST,Miami-Dade Police,9-16-2019 4:30 PM
FRAUD,PD190917334025,8000 BLOCK NW 27TH AVE,Miami-Dade Police,9-16-2019 3:41 PM
ASSAULT,PD190916332463,2500 BLOCK NW 58TH ST,Miami-Dade Police,9-16-2019 3:36 PM
ASSAULT,PD190916332458,700 BLOCK NW 75TH ST,Miami-Dade Police,9-16-2019 3:35 PM
MOTOR VEHICLE THEFT,PD190916332560,3000 BLOCK NW 79TH ST,Miami-Dade Police,9-16-2019 2:55 PM
ASSAULT,PD190916332350,7000 BLOCK NW 41ST ST,Miami-Dade Police,9-16-2019 1:20 PM
THEFT/LARCENY,PD190916332272,100 BLOCK W FLAGLER ST,Miami-Dade Police,9-16-2019 12:25 PM
ASSAULT,PD190916332192,2100 BLOCK NW 76TH ST,Miami-Dade Police,9-16-2019 11:59 AM
BURGLARY,PD190916332467,1900 BLOCK NW 47TH ST,Miami-Dade Police,9-16-2019 11:20 AM
THEFT/LARCENY,PD190916331961,3800 BLOCK NW 21ST ST,Miami-Dade Police,9-16-2019 8:30 AM
VEHICLE BREAK-IN/THEFT,PD190916332222,2000 BLOCK NW 63RD ST,Miami-Dade Police,9-16-2019 7:00 AM
ASSAULT,PD190916331812,NW 27TH AVE & NW 42ND ST,Miami-Dade Police,9-16-2019 4:17 AM
ROBBERY,PD190916332522,NW 37TH AVE & NW 41ST ST,Miami-Dade Police,9-16-2019 3:00 AM
ASSAULT,PD190916331735,8200 BLOCK NW MIAMI CT,Miami-Dade Police,9-16-2019 12:50 AM
THEFT/LARCENY,PD190916332266,1100 BLOCK NW 79TH ST,Miami-Dade Police,9-16-2019 12:00 AM
THEFT/LARCENY,PD190916331884,0000 BLOCK INTERNATIONAL WATERS,Miami-Dade Police,9-16-2019 12:00 AM
ASSAULT,PD190915331690,1900 BLOCK NW 47TH ST,Miami-Dade Police,9-15-2019 11:58 PM
WEAPONS,PD190915331641,8400 BLOCK NW 5TH CT,Miami-Dade Police,9-15-2019 10:56 PM
THEFT/LARCENY,PD190916331843,3100 BLOCK NW 28TH ST,Miami-Dade Police,9-15-2019 10:30 PM
VEHICLE BREAK-IN/THEFT,PD190916331725,2400 BLOCK NW 38TH ST,Miami-Dade Police,9-15-2019 10:00 PM
ASSAULT,PD190915331588,2300 BLOCK NW 60TH ST,Miami-Dade Police,9-15-2019 9:49 PM
MOTOR VEHICLE THEFT,PD190916331862,800 BLOCK NW 74TH ST,Miami-Dade Police,9-15-2019 9:00 PM
VEHICLE BREAK-IN/THEFT,PD190915331687,2400 BLOCK NW 38TH ST,Miami-Dade Police,9-15-2019 8:30 PM
ROBBERY,PD190915331483,4800 BLOCK NW 31ST AVE,Miami-Dade Police,9-15-2019 7:50 PM
MOTOR VEHICLE THEFT,PD190916331881,5700 BLOCK BLUE LAGOON DR,Miami-Dade Police,9-15-2019 7:00 PM
MOTOR VEHICLE THEFT,PD190916331937,1100 BLOCK NW 79TH ST,Miami-Dade Police,9-15-2019 6:00 PM
VANDALISM,PD190915331663,1400 BLOCK NW 7TH AVE,Miami-Dade Police,9-15-2019 5:46 PM
ASSAULT,PD190915331210,800 BLOCK NW 74TH ST,Miami-Dade Police,9-15-2019 3:40 PM
THEFT/LARCENY,PD190915331171,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-15-2019 1:34 PM
ASSAULT,PD190915331059,2500 BLOCK NW 65TH ST,Miami-Dade Police,9-15-2019 12:26 PM
ASSAULT,PD190915331029,2900 BLOCK NW 48TH ST,Miami-Dade Police,9-15-2019 12:19 PM
THEFT/LARCENY,PD190916331960,7800 BLOCK NW 27TH AVE,Miami-Dade Police,9-15-2019 12:00 PM
ASSAULT,PD190915330948,2200 BLOCK NW 82ND ST,Miami-Dade Police,9-15-2019 10:40 AM
THEFT/LARCENY,PD190915330989,JMH MAIN,Miami-Dade Police,9-15-2019 9:00 AM
THEFT/LARCENY,PD190915330866,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-15-2019 8:36 AM
ROBBERY,PD190915330793,3700 BLOCK NW 30TH AVE,Miami-Dade Police,9-15-2019 6:59 AM
ASSAULT,PD190915330730,7000 BLOCK NW 72ND AVE,Miami-Dade Police,9-15-2019 4:00 AM
HOMICIDE,PD190915330715,7500 BLOCK NW 22ND AVE,Miami-Dade Police,9-15-2019 3:58 AM
ASSAULT,PD190915330678,1400 BLOCK NW 71ST ST,Miami-Dade Police,9-15-2019 2:55 AM
THEFT/LARCENY,PD190915330739,2700 BLOCK NW 62ND ST,Miami-Dade Police,9-15-2019 2:30 AM
VANDALISM,PD190915331130,3400 BLOCK NW 25TH ST,Miami-Dade Police,9-15-2019 1:00 AM
VANDALISM,PD190915330510,800 BLOCK NW 83RD TER,Miami-Dade Police,9-15-2019 12:02 AM
ROBBERY,PD190914330497,NW 19TH AVE & NW 62ND ST,Miami-Dade Police,9-14-2019 11:45 PM
ASSAULT,PD190914330417,5700 BLOCK NW 22ND AVE,Miami-Dade Police,9-14-2019 10:42 PM
VEHICLE BREAK-IN/THEFT,PD190914330373,7200 BLOCK NW 36TH ST,Miami-Dade Police,9-14-2019 9:00 PM
WEAPONS,PD190914330346,NW 86TH ST & N MIAMI AVE,Miami-Dade Police,9-14-2019 8:55 PM
VEHICLE BREAK-IN/THEFT,PD190916332143,3500 BLOCK NW 71ST ST,Miami-Dade Police,9-14-2019 8:00 PM
THEFT/LARCENY,PD190914330334,4900 BLOCK NW 27TH AVE,Miami-Dade Police,9-14-2019 6:21 PM
VEHICLE BREAK-IN/THEFT,PD190916332360,7100 BLOCK NW 36TH AVE,Miami-Dade Police,9-14-2019 6:00 PM
BURGLARY,PD190916332263,700 BLOCK NW 72ND ST,Miami-Dade Police,9-14-2019 5:00 PM
MOTOR VEHICLE THEFT,PD190914330076,7000 BLOCK NW 27TH AVE,Miami-Dade Police,9-14-2019 4:40 PM
ASSAULT,PD190914330073,6200 BLOCK NW 22ND AVE,Miami-Dade Police,9-14-2019 4:39 PM
MOTOR VEHICLE THEFT,PD190915330792,6900 BLOCK SW 8TH ST,Miami-Dade Police,9-14-2019 3:00 PM
THEFT/LARCENY,PD190914329922,4600 BLOCK NW 27TH AVE,Miami-Dade Police,9-14-2019 2:07 PM
VANDALISM,PD190915330978,8200 BLOCK NW MIAMI CT,Miami-Dade Police,9-14-2019 2:00 PM
THEFT/LARCENY,PD190914329884,800 BLOCK NW 79TH ST,Miami-Dade Police,9-14-2019 1:33 PM
MOTOR VEHICLE THEFT,PD190915330977,1200 BLOCK NW 79TH ST,Miami-Dade Police,9-14-2019 1:00 PM
VANDALISM,PD190914329877,3200 BLOCK NW 79TH ST,Miami-Dade Police,9-14-2019 1:00 PM
ASSAULT,PD190914329838,2400 BLOCK NW 63RD ST,Miami-Dade Police,9-14-2019 12:30 PM
VEHICLE BREAK-IN/THEFT,PD190914329792,2300 BLOCK NW 67TH ST,Miami-Dade Police,9-14-2019 11:30 AM
THEFT/LARCENY,PD190914329744,2000 BLOCK NW 68TH TER,Miami-Dade Police,9-14-2019 11:18 AM
ASSAULT,PD190914330407,NW 32ND AVE & NW 46TH ST,Miami-Dade Police,9-14-2019 10:00 AM
VEHICLE BREAK-IN/THEFT,PD190914329669,600 BLOCK FLORIDA WAY,Miami-Dade Police,9-14-2019 9:30 AM
ROBBERY,PD190914329403,1400 BLOCK NW 81ST ST,Miami-Dade Police,9-14-2019 1:09 AM
ASSAULT,PD190914329388,7000 BLOCK NW 27TH AVE,Miami-Dade Police,9-14-2019 12:40 AM
ROBBERY,PD190914330497,NW 19TH AVE & NW 62ND ST,Miami-Dade Police,9-14-2019 11:45 PM
ASSAULT,PD190914330417,5700 BLOCK NW 22ND AVE,Miami-Dade Police,9-14-2019 10:42 PM
VEHICLE BREAK-IN/THEFT,PD190914330373,7200 BLOCK NW 36TH ST,Miami-Dade Police,9-14-2019 9:00 PM
WEAPONS,PD190914330346,NW 86TH ST & N MIAMI AVE,Miami-Dade Police,9-14-2019 8:55 PM
VEHICLE BREAK-IN/THEFT,PD190916332143,3500 BLOCK NW 71ST ST,Miami-Dade Police,9-14-2019 8:00 PM
THEFT/LARCENY,PD190914330334,4900 BLOCK NW 27TH AVE,Miami-Dade Police,9-14-2019 6:21 PM
VEHICLE BREAK-IN/THEFT,PD190916332360,7100 BLOCK NW 36TH AVE,Miami-Dade Police,9-14-2019 6:00 PM
BURGLARY,PD190916332263,700 BLOCK NW 72ND ST,Miami-Dade Police,9-14-2019 5:00 PM
MOTOR VEHICLE THEFT,PD190914330076,7000 BLOCK NW 27TH AVE,Miami-Dade Police,9-14-2019 4:40 PM
ASSAULT,PD190914330073,6200 BLOCK NW 22ND AVE,Miami-Dade Police,9-14-2019 4:39 PM
MOTOR VEHICLE THEFT,PD190915330792,6900 BLOCK SW 8TH ST,Miami-Dade Police,9-14-2019 3:00 PM
THEFT/LARCENY,PD190914329922,4600 BLOCK NW 27TH AVE,Miami-Dade Police,9-14-2019 2:07 PM
VANDALISM,PD190915330978,8200 BLOCK NW MIAMI CT,Miami-Dade Police,9-14-2019 2:00 PM
THEFT/LARCENY,PD190914329884,800 BLOCK NW 79TH ST,Miami-Dade Police,9-14-2019 1:33 PM
VANDALISM,PD190914329877,3200 BLOCK NW 79TH ST,Miami-Dade Police,9-14-2019 1:00 PM
MOTOR VEHICLE THEFT,PD190915330977,1200 BLOCK NW 79TH ST,Miami-Dade Police,9-14-2019 1:00 PM
ASSAULT,PD190914329838,2400 BLOCK NW 63RD ST,Miami-Dade Police,9-14-2019 12:30 PM
VEHICLE BREAK-IN/THEFT,PD190914329792,2300 BLOCK NW 67TH ST,Miami-Dade Police,9-14-2019 11:30 AM
THEFT/LARCENY,PD190914329744,2000 BLOCK NW 68TH TER,Miami-Dade Police,9-14-2019 11:18 AM
ASSAULT,PD190914330407,NW 32ND AVE & NW 46TH ST,Miami-Dade Police,9-14-2019 10:00 AM
VEHICLE BREAK-IN/THEFT,PD190914329669,600 BLOCK FLORIDA WAY,Miami-Dade Police,9-14-2019 9:30 AM
ROBBERY,PD190914329403,1400 BLOCK NW 81ST ST,Miami-Dade Police,9-14-2019 1:09 AM
ASSAULT,PD190914329388,7000 BLOCK NW 27TH AVE,Miami-Dade Police,9-14-2019 12:40 AM
ASSAULT,PD190913329343,7300 BLOCK NW 19TH CT,Miami-Dade Police,9-13-2019 11:51 PM
BURGLARY,PD190914329845,7600 BLOCK NW 16TH AVE,Miami-Dade Police,9-13-2019 11:00 PM
VANDALISM,PD190913329302,500 BLOCK NE 71ST ST,Miami-Dade Police,9-13-2019 10:54 PM
FRAUD,PD190913329313,800 BLOCK NW 73RD ST,Miami-Dade Police,9-13-2019 10:36 PM
VEHICLE BREAK-IN/THEFT,PD190914329974,5200 BLOCK NW 24TH PL,Miami-Dade Police,9-13-2019 10:00 PM
VEHICLE BREAK-IN/THEFT,PD190913329139,3100 BLOCK NW 29TH ST,Miami-Dade Police,9-13-2019 7:45 PM
MOTOR VEHICLE THEFT,PD190913329169,6200 BLOCK BLUE LAGOON DR,Miami-Dade Police,9-13-2019 7:30 PM
THEFT/LARCENY,PD190913329080,1000 BLOCK NW 79TH ST,Miami-Dade Police,9-13-2019 7:19 PM
VEHICLE BREAK-IN/THEFT,PD190916332166,2900 BLOCK NW 72ND ST,Miami-Dade Police,9-13-2019 4:00 PM
ASSAULT,PD190913328816,MM WILKIE D FERGUSON,Miami-Dade Police,9-13-2019 3:30 PM
THEFT/LARCENY,PD190914329822,5700 BLOCK SW 16TH ST,Miami-Dade Police,9-13-2019 3:00 PM
THEFT/LARCENY,PD190917333760,NW 27TH AVE & NW 79TH ST,Miami-Dade Police,9-13-2019 3:00 PM
ASSAULT,PD190913328847,5200 BLOCK NW 29TH AVE,Miami-Dade Police,9-13-2019 2:57 PM
VEHICLE BREAK-IN/THEFT,PD190913328739,900 BLOCK NW 79TH ST,Miami-Dade Police,9-13-2019 2:06 PM
VANDALISM,PD190913328711,5200 BLOCK NW 29TH AVE,Miami-Dade Police,9-13-2019 1:26 PM
ASSAULT,PD190913328545,5300 BLOCK NW 24TH CT,Miami-Dade Police,9-13-2019 11:58 AM
ASSAULT,PD190915331054,3200 BLOCK NW 82ND ST,Miami-Dade Police,9-13-2019 9:00 AM
THEFT/LARCENY,PD190913328480,4600 BLOCK NW 72ND AVE,Miami-Dade Police,9-13-2019 7:00 AM
ASSAULT,PD190913328102,4700 BLOCK NW 24TH AVE,Miami-Dade Police,9-13-2019 2:31 AM
ASSAULT,PD190913328138,3600 BLOCK NW S RIVER DR,Miami-Dade Police,9-13-2019 1:00 AM
MOTOR VEHICLE THEFT,PD190913328321,2300 BLOCK NW 37TH AVE,Miami-Dade Police,9-13-2019 12:01 AM
THEFT/LARCENY,PD190913328345,6600 BLOCK NW 7TH ST,Miami-Dade Police,9-12-2019 11:00 PM
MOTOR VEHICLE THEFT,PD190913328158,7200 BLOCK SW 14TH ST,Miami-Dade Police,9-12-2019 9:30 PM
THEFT/LARCENY,PD190912327816,800 BLOCK NW 79TH ST,Miami-Dade Police,9-12-2019 7:42 PM
BURGLARY,PD190913328474,2900 BLOCK NW 72ND AVE,Miami-Dade Police,9-12-2019 7:00 PM
BURGLARY,PD190913328549,2900 BLOCK NW 72ND AVE,Miami-Dade Police,9-12-2019 7:00 PM
ASSAULT,PD190914329596,0000 BLOCK INTERNATIONAL WATERS,Miami-Dade Police,9-12-2019 6:40 PM
ASSAULT,PD190912327745,1800 BLOCK NW 44TH AVE,Miami-Dade Police,9-12-2019 6:37 PM
BURGLARY,PD190913328551,2900 BLOCK NW 72ND AVE,Miami-Dade Police,9-12-2019 6:00 PM
VEHICLE BREAK-IN/THEFT,PD190912327723,8200 BLOCK NW 27TH AVE,Miami-Dade Police,9-12-2019 5:23 PM
VEHICLE BREAK-IN/THEFT,PD190912327663,3800 BLOCK NW 27TH AVE,Miami-Dade Police,9-12-2019 5:09 PM
BURGLARY,PD190913328334,3300 BLOCK NW 48TH ST,Miami-Dade Police,9-12-2019 3:30 PM
VEHICLE BREAK-IN/THEFT,PD190912327837,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-12-2019 2:45 PM
ASSAULT,PD190912327383,7100 BLOCK NW 14TH PL,Miami-Dade Police,9-12-2019 2:00 PM
THEFT/LARCENY,PD190912327798,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-12-2019 1:57 PM
VANDALISM,PD190912327376,3800 BLOCK NW 27TH AVE,Miami-Dade Police,9-12-2019 1:45 PM
ASSAULT,PD190912327099,00 BLOCK W FLAGLER ST,Miami-Dade Police,9-12-2019 10:05 AM
THEFT/LARCENY,PD190912327038,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-12-2019 9:01 AM
THEFT OF AUTOMOBILE,19006395,200 BLOCK CALABRIA AV,Coral Gables Police,9-12-2019 9:00 AM
VANDALISM,PD190912327547,00 BLOCK W FLAGLER ST,Miami-Dade Police,9-12-2019 8:00 AM
BURGLARY,PD190914329616,8000 BLOCK NW MIAMI CT,Miami-Dade Police,9-12-2019 8:00 AM
THEFT FROM MOTOR VEHICLE,19006393,1600 BLOCK LEJEUNE RD,Coral Gables Police,9-12-2019 6:36 AM
THEFT/LARCENY,PD190915330861,1900 BLOCK NW 38TH ST,Miami-Dade Police,9-12-2019 6:15 AM
VANDALISM,PD190912326909,900 BLOCK NW 81ST ST,Miami-Dade Police,9-12-2019 5:52 AM
VEHICLE BREAK-IN/THEFT,PD190912326949,2700 BLOCK NW 62ND ST,Miami-Dade Police,9-12-2019 12:01 AM
THEFT/LARCENY,PD190914329612,2200 BLOCK NW 72ND AVE,Miami-Dade Police,9-11-2019 11:00 PM
VANDALISM,PD190911326657,7700 BLOCK NW 16TH AVE,Miami-Dade Police,9-11-2019 10:12 PM
THEFT/LARCENY,PD190911326653,3200 BLOCK NW 79TH ST,Miami-Dade Police,9-11-2019 10:12 PM
ASSAULT,PD190911326517,7700 BLOCK NW 15TH AVE,Miami-Dade Police,9-11-2019 7:45 PM
VANDALISM,PD190911326470,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-11-2019 7:12 PM
THEFT/LARCENY,PD190911326746,5100 BLOCK NW 23RD AVE,Miami-Dade Police,9-11-2019 7:00 PM
ASSAULT,PD190911326441,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-11-2019 6:40 PM
VANDALISM,PD190911326666,3500 BLOCK NW 79TH ST,Miami-Dade Police,9-11-2019 5:47 PM
VEHICLE BREAK-IN/THEFT,PD190913329112,700 BLOCK NW 72ND AVE,Miami-Dade Police,9-11-2019 5:00 PM
THEFT/LARCENY,PD190911326506,7600 BLOCK NW 16TH AVE,Miami-Dade Police,9-11-2019 4:00 PM
THEFT/LARCENY,PD190911326361,5100 BLOCK NW 36TH AVE,Miami-Dade Police,9-11-2019 3:33 PM
FRAUD,PD190911326116,5200 BLOCK NW 26TH AVE,Miami-Dade Police,9-11-2019 2:39 PM
BURGLARY,PD190911326107,7400 BLOCK NW 23RD AVE,Miami-Dade Police,9-11-2019 2:31 PM
FRAUD,PD190912327035,3200 BLOCK NW 32ND AVE,Miami-Dade Police,9-11-2019 2:00 PM
MOTOR VEHICLE THEFT,PD190911325989,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-11-2019 11:29 AM
ASSAULT,PD190911325919,NW 27TH AVE & NW 41ST ST,Miami-Dade Police,9-11-2019 11:15 AM
BURGLARY,PD190912327371,700 BLOCK NW 85TH ST,Miami-Dade Police,9-11-2019 6:30 AM
ASSAULT,PD190911325597,5200 BLOCK NW 29TH AVE,Miami-Dade Police,9-11-2019 4:50 AM
THEFT/LARCENY,PD190911325578,4100 BLOCK NW 27TH AVE,Miami-Dade Police,9-11-2019 3:20 AM
ROBBERY,PD190911325559,5300 BLOCK NW 26TH AVE,Miami-Dade Police,9-11-2019 2:00 AM
ASSAULT,PD190911325495,JMH MAIN,Miami-Dade Police,9-11-2019 12:14 AM
FRAUD,PD190918334689,6300 BLOCK BLUE LAGOON DR,Miami-Dade Police,9-11-2019 12:00 AM
ASSAULT,PD190910325428,8200 BLOCK NW 1ST PL,Miami-Dade Police,9-10-2019 10:47 PM
WEAPONS,PD190910325358,NW 17TH AVE & NW 79TH ST,Miami-Dade Police,9-10-2019 9:32 PM
VANDALISM,PD190910325156,7900 BLOCK NW 22ND AVE,Miami-Dade Police,9-10-2019 6:27 PM
DRUGS/ALCOHOL VIOLATIONS,PD190910325164,SW 44TH AVE & SW 8TH ST,Miami-Dade Police,9-10-2019 6:10 PM
DRUGS/ALCOHOL VIOLATIONS,PD190910324984,NW 71ST ST & NW 17TH AVE,Miami-Dade Police,9-10-2019 4:10 PM
FRAUD,PD190910324773,6700 BLOCK NW 33RD AVE,Miami-Dade Police,9-10-2019 1:35 PM
THEFT/LARCENY,PD190910324789,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-10-2019 1:00 PM
VEHICLE BREAK-IN/THEFT,PD190910325184,5300 BLOCK NW 72ND AVE,Miami-Dade Police,9-10-2019 11:40 AM
THEFT/LARCENY,PD190910324595,3200 BLOCK NW 79TH ST,Miami-Dade Police,9-10-2019 11:03 AM
MOTOR VEHICLE THEFT,PD190910324639,7200 BLOCK NW 44TH ST,Miami-Dade Police,9-10-2019 10:50 AM
MOTOR VEHICLE THEFT,PD190910324599,7200 BLOCK NW 17TH AVE,Miami-Dade Police,9-10-2019 10:36 AM
VEHICLE BREAK-IN/THEFT,PD190910324562,3500 BLOCK NW 54TH ST,Miami-Dade Police,9-10-2019 10:18 AM
ROBBERY,PD190910324473,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-10-2019 9:07 AM
THEFT/LARCENY,PD190910324524,JMH MAIN,Miami-Dade Police,9-10-2019 8:50 AM
THEFT/LARCENY,PD190918334670,1800 BLOCK NW 65TH ST,Miami-Dade Police,9-10-2019 8:30 AM
THEFT/LARCENY,PD190911325923,2900 BLOCK NW 52ND ST,Miami-Dade Police,9-10-2019 7:00 AM
DRUGS/ALCOHOL VIOLATIONS,PD190910324249,7000 BLOCK NW 27TH AVE,Miami-Dade Police,9-10-2019 3:56 AM
