,Description,Incident#,Location,Agency,Date,location,New
26,THEFT/LARCENY,PD190918335336,800 BLOCK NW 79TH ST,Miami-Dade Police,9-18-2019 4:31 PM,"[-80.31254059999999, 25.7722104]",25.8354273
27,ASSAULT,PD190918334934,7900 BLOCK NW 22ND AVE,Miami-Dade Police,9-18-2019 1:29 PM,"[-80.2112051, 25.8467127]",25.8354273
28,VANDALISM,PD190918335365,7000 BLOCK NW 41ST ST,Miami-Dade Police,9-18-2019 1:00 PM,"[-80.2336459, 25.8463435]",25.8354273
29,ROBBERY,PD190918334710,NW 25TH AVE & NW 54TH ST,Miami-Dade Police,9-18-2019 10:14 AM,"[-80.31156899999999, 25.8101534]",25.8354273
30,ASSAULT,PD190918334646,100 BLOCK NW 1ST AVE,Miami-Dade Police,9-18-2019 9:30 AM,"[-80.23877759999999, 25.8239769]",25.8354273
31,THEFT/LARCENY,PD190918334590,6600 BLOCK NW 22ND AVE,Miami-Dade Police,9-18-2019 8:50 AM,"[-80.1951381, 25.7750758]",25.8354273
32,VANDALISM,PD190918334470,3200 BLOCK NW 79TH ST,Miami-Dade Police,9-18-2019 5:30 AM,"[-80.2334601, 25.8348843]",25.8354273
33,MOTOR VEHICLE THEFT,PD190918334490,2200 BLOCK NW 87TH ST,Miami-Dade Police,9-18-2019 4:00 AM,"[-80.2514956, 25.8431635]",25.8354273
34,ROBBERY,PD190918334446,NW 31ST AVE & NW 60TH ST,Miami-Dade Police,9-18-2019 3:38 AM,"[-80.2337613, 25.8536679]",25.8354273
35,DRUGS/ALCOHOL VIOLATIONS,PD190918334441,4700 BLOCK NW 27TH AVE,Miami-Dade Police,9-18-2019 3:14 AM,"[-80.24712470000001, 25.8292142]",25.8354273
36,THEFT/LARCENY,PD190918334409,4200 BLOCK SW 8TH ST,Miami-Dade Police,9-18-2019 1:50 AM,"[-80.2408008, 25.817608]",25.8354273
37,VANDALISM,PD190918334375,2900 BLOCK NW 61ST ST,Miami-Dade Police,9-18-2019 12:44 AM,"[-80.26392969999999, 25.7639427]",25.8354273
38,ROBBERY,PD190918334365,3500 BLOCK NW 79TH ST,Miami-Dade Police,9-18-2019 12:29 AM,"[-80.2431481, 25.8302544]",25.8354273
39,THEFT/LARCENY,PD190917334206,2700 BLOCK NW 79TH ST,Miami-Dade Police,9-17-2019 9:15 PM,"[-80.25358299999999, 25.843639]",25.8354273
40,VEHICLE BREAK-IN/THEFT,PD190918334671,2400 BLOCK NW 78TH ST,Miami-Dade Police,9-17-2019 8:00 PM,"[-80.24195519999999, 25.8457495]",25.8354273
41,ASSAULT,PD190917333942,NW 81ST ST & NW 7TH AVE,Miami-Dade Police,9-17-2019 4:40 PM,"[-80.23797, 25.845328]",25.8354273
42,VEHICLE BREAK-IN/THEFT,PD190917333868,1700 BLOCK NW 80TH ST,Miami-Dade Police,9-17-2019 4:20 PM,"[-80.26087559999999, 25.7970504]",25.8354273
43,BURGLARY,PD190917333991,2300 BLOCK NW 84TH ST,Miami-Dade Police,9-17-2019 3:36 PM,"[-80.2091718, 25.8488983]",25.8354273
44,VANDALISM,PD190917333707,4300 BLOCK NW 32ND AVE,Miami-Dade Police,9-17-2019 1:50 PM,"[-80.22569539999999, 25.8475554]",25.8354273
45,MOTOR VEHICLE THEFT,PD190917333700,3000 BLOCK NW N RIVER DR,Miami-Dade Police,9-17-2019 1:00 PM,"[-80.2357918, 25.8508304]",25.8354273
46,VANDALISM,PD190917333635,7100 BLOCK NW 35TH AVE,Miami-Dade Police,9-17-2019 12:00 PM,"[-80.24885359999999, 25.8141414]",25.8354273
47,VEHICLE BREAK-IN/THEFT,PD190917333295,5200 BLOCK NW 29TH AVE,Miami-Dade Police,9-17-2019 9:21 AM,"[-80.2441798, 25.7961506]",25.8354273
48,VEHICLE BREAK-IN/THEFT,PD190917333292,6700 BLOCK NW 27TH AVE,Miami-Dade Police,9-17-2019 9:19 AM,"[-80.2537155, 25.8382513]",25.8354273
49,THEFT/LARCENY,PD190917333213,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-17-2019 8:07 AM,"[-80.2427435, 25.8221066]",25.8354273
50,BURGLARY,PD190917333364,5700 BLOCK SW 20TH ST,Miami-Dade Police,9-17-2019 6:00 AM,"[-80.2418463, 25.8354273]",25.8354273
51,MOTOR VEHICLE THEFT,PD190917333440,2300 BLOCK NW 37TH AVE,Miami-Dade Police,9-17-2019 12:10 AM,,25.8354273
52,MOTOR VEHICLE THEFT,PD190917333409,2300 BLOCK NW 37TH AVE,Miami-Dade Police,9-17-2019 12:10 AM,"[-80.2425681, 25.8479395]",25.8354273
53,MOTOR VEHICLE THEFT,PD190917333461,2300 BLOCK NW 37TH AVE,Miami-Dade Police,9-17-2019 12:00 AM,"[-80.2874594, 25.7523703]",25.8354273
54,BURGLARY,PD190917333528,6900 BLOCK NW 27TH AVE,Miami-Dade Police,9-16-2019 7:00 PM,"[-80.2564369, 25.7969273]",25.8354273
55,VEHICLE BREAK-IN/THEFT,PD190917333803,5500 BLOCK BLUE LAGOON DR,Miami-Dade Police,9-16-2019 7:00 PM,"[-80.2564369, 25.7969273]",25.8354273
56,VEHICLE BREAK-IN/THEFT,PD190917333703,7000 BLOCK NW 22ND AVE,Miami-Dade Police,9-16-2019 6:45 PM,"[-80.2564369, 25.7969273]",25.8354273
57,THEFT/LARCENY,PD190917333115,5100 BLOCK NW 72ND AVE,Miami-Dade Police,9-16-2019 6:30 PM,"[-80.2870509, 25.7958723]",25.8354273
58,ROBBERY,PD190916332683,3000 BLOCK NW 44TH ST,Miami-Dade Police,9-16-2019 6:28 PM,"[-80.2418463, 25.8367996]",25.8354273
59,DRUGS/ALCOHOL VIOLATIONS,PD190916332695,4400 BLOCK SW 8TH ST,Miami-Dade Police,9-16-2019 6:15 PM,"[-80.2845269, 25.78166]",25.8354273
60,VEHICLE BREAK-IN/THEFT,PD190916332657,3800 BLOCK NW 27TH AVE,Miami-Dade Police,9-16-2019 6:08 PM,"[-80.2333711, 25.8388882]",25.8354273
61,THEFT/LARCENY,PD190916332680,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-16-2019 5:32 PM,"[-80.3153042, 25.8200947]",25.8354273
62,ASSAULT,PD190916332527,1200 BLOCK NW 84TH TER,Miami-Dade Police,9-16-2019 4:30 PM,"[-80.2445367, 25.8151403]",25.8354273
63,BURGLARY,PD190917333334,14500 BLOCK SW 20TH ST,Miami-Dade Police,9-16-2019 4:30 PM,"[-80.2682439, 25.7641098]",25.8354273
64,FRAUD,PD190917334025,8000 BLOCK NW 27TH AVE,Miami-Dade Police,9-16-2019 3:41 PM,"[-80.2409315, 25.8116241]",25.8354273
65,ASSAULT,PD190916332463,2500 BLOCK NW 58TH ST,Miami-Dade Police,9-16-2019 3:36 PM,"[-80.2425681, 25.8479395]",25.8354273
66,ASSAULT,PD190916332458,700 BLOCK NW 75TH ST,Miami-Dade Police,9-16-2019 3:35 PM,"[-80.21775099999999, 25.852455]",25.8354273
67,MOTOR VEHICLE THEFT,PD190916332560,3000 BLOCK NW 79TH ST,Miami-Dade Police,9-16-2019 2:55 PM,"[-80.2342481, 25.7527158]",25.8354273
68,ASSAULT,PD190916332350,7000 BLOCK NW 41ST ST,Miami-Dade Police,9-16-2019 1:20 PM,"[-80.2418473, 25.8472753]",25.8354273
69,THEFT/LARCENY,PD190916332272,100 BLOCK W FLAGLER ST,Miami-Dade Police,9-16-2019 12:25 PM,"[-80.2389486, 25.8276252]",25.8354273
70,ASSAULT,PD190916332192,2100 BLOCK NW 76TH ST,Miami-Dade Police,9-16-2019 11:59 AM,"[-80.2090089, 25.8433759]",25.8354273
71,BURGLARY,PD190916332467,1900 BLOCK NW 47TH ST,Miami-Dade Police,9-16-2019 11:20 AM,"[-80.245949, 25.845603]",25.8354273
72,THEFT/LARCENY,PD190916331961,3800 BLOCK NW 21ST ST,Miami-Dade Police,9-16-2019 8:30 AM,"[-80.31156899999999, 25.8101534]",25.8354273
73,VEHICLE BREAK-IN/THEFT,PD190916332222,2000 BLOCK NW 63RD ST,Miami-Dade Police,9-16-2019 7:00 AM,"[-80.1961336, 25.7738534]",25.8354273
74,ASSAULT,PD190916331812,NW 27TH AVE & NW 42ND ST,Miami-Dade Police,9-16-2019 4:17 AM,"[-80.2315867, 25.8438145]",25.8354273
75,ROBBERY,PD190916332522,NW 37TH AVE & NW 41ST ST,Miami-Dade Police,9-16-2019 3:00 AM,"[-80.2283739, 25.8176741]",25.8354273
76,ASSAULT,PD190916331735,8200 BLOCK NW MIAMI CT,Miami-Dade Police,9-16-2019 12:50 AM,"[-80.2568363, 25.7949997]",25.8354273
77,THEFT/LARCENY,PD190916332266,1100 BLOCK NW 79TH ST,Miami-Dade Police,9-16-2019 12:00 AM,"[-80.230023, 25.832102]",25.8354273
78,THEFT/LARCENY,PD190916331884,0000 BLOCK INTERNATIONAL WATERS,Miami-Dade Police,9-16-2019 12:00 AM,"[-80.24049219999999, 25.8137199]",25.8354273
79,ASSAULT,PD190915331690,1900 BLOCK NW 47TH ST,Miami-Dade Police,9-15-2019 11:58 PM,"[-80.25660859999999, 25.8122877]",25.8354273
80,WEAPONS,PD190915331641,8400 BLOCK NW 5TH CT,Miami-Dade Police,9-15-2019 10:56 PM,"[-80.1979976, 25.8496423]",25.8354273
81,THEFT/LARCENY,PD190916331843,3100 BLOCK NW 28TH ST,Miami-Dade Police,9-15-2019 10:30 PM,"[-80.2143334, 25.8468869]",25.8354273
82,VEHICLE BREAK-IN/THEFT,PD190916331725,2400 BLOCK NW 38TH ST,Miami-Dade Police,9-15-2019 10:00 PM,"[-80.1917902, 25.7616798]",25.8354273
83,ASSAULT,PD190915331588,2300 BLOCK NW 60TH ST,Miami-Dade Police,9-15-2019 9:49 PM,"[-80.2283739, 25.8176741]",25.8354273
84,MOTOR VEHICLE THEFT,PD190916331862,800 BLOCK NW 74TH ST,Miami-Dade Police,9-15-2019 9:00 PM,"[-80.2062478, 25.8519041]",25.8354273
85,VEHICLE BREAK-IN/THEFT,PD190915331687,2400 BLOCK NW 38TH ST,Miami-Dade Police,9-15-2019 8:30 PM,"[-80.2461182, 25.8015128]",25.8354273
86,ROBBERY,PD190915331483,4800 BLOCK NW 31ST AVE,Miami-Dade Police,9-15-2019 7:50 PM,"[-80.2362146, 25.8110672]",25.8354273
87,MOTOR VEHICLE THEFT,PD190916331881,5700 BLOCK BLUE LAGOON DR,Miami-Dade Police,9-15-2019 7:00 PM,"[-80.23493839999999, 25.8295568]",25.8354273
88,MOTOR VEHICLE THEFT,PD190916331937,1100 BLOCK NW 79TH ST,Miami-Dade Police,9-15-2019 6:00 PM,"[-80.2110222, 25.8425809]",25.8354273
89,VANDALISM,PD190915331663,1400 BLOCK NW 7TH AVE,Miami-Dade Police,9-15-2019 5:46 PM,"[-80.2362146, 25.8110672]",25.8354273
90,ASSAULT,PD190915331210,800 BLOCK NW 74TH ST,Miami-Dade Police,9-15-2019 3:40 PM,"[-80.24683259999999, 25.8180541]",25.8354273
91,THEFT/LARCENY,PD190915331171,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-15-2019 1:34 PM,"[-80.2885783, 25.7819409]",25.8354273
92,ASSAULT,PD190915331059,2500 BLOCK NW 65TH ST,Miami-Dade Police,9-15-2019 12:26 PM,"[-80.2143334, 25.8468869]",25.8354273
93,ASSAULT,PD190915331029,2900 BLOCK NW 48TH ST,Miami-Dade Police,9-15-2019 12:19 PM,"[-80.20692869999999, 25.7879575]",25.8354273
94,THEFT/LARCENY,PD190916331960,7800 BLOCK NW 27TH AVE,Miami-Dade Police,9-15-2019 12:00 PM,"[-80.2110222, 25.8425809]",25.8354273
95,ASSAULT,PD190915330948,2200 BLOCK NW 82ND ST,Miami-Dade Police,9-15-2019 10:40 AM,"[-80.2425681, 25.8479395]",25.8354273
96,THEFT/LARCENY,PD190915330989,JMH MAIN,Miami-Dade Police,9-15-2019 9:00 AM,"[-80.2393963, 25.8334563]",25.8354273
97,THEFT/LARCENY,PD190915330866,7900 BLOCK NW 27TH AVE,Miami-Dade Police,9-15-2019 8:36 AM,"[-80.24273939999999, 25.8177158]",25.8354273
98,ROBBERY,PD190915330793,3700 BLOCK NW 30TH AVE,Miami-Dade Police,9-15-2019 6:59 AM,"[-80.2417851, 25.8450195]",25.8354273
99,ASSAULT,PD190915330730,7000 BLOCK NW 72ND AVE,Miami-Dade Police,9-15-2019 4:00 AM,"[-80.2870509, 25.7958723]",25.8354273
100,HOMICIDE,PD190915330715,7500 BLOCK NW 22ND AVE,Miami-Dade Police,9-15-2019 3:58 AM,"[-80.233774, 25.8494691]",25.8354273
101,ASSAULT,PD190915330678,1400 BLOCK NW 71ST ST,Miami-Dade Police,9-15-2019 2:55 AM,"[-80.2127544, 25.7917353]",25.8354273
102,THEFT/LARCENY,PD190915330739,2700 BLOCK NW 62ND ST,Miami-Dade Police,9-15-2019 2:30 AM,"[-80.2425681, 25.8479395]",25.8354273
103,VANDALISM,PD190915331130,3400 BLOCK NW 25TH ST,Miami-Dade Police,9-15-2019 1:00 AM,"[-80.2445321, 25.810921]",25.8354273
104,VANDALISM,PD190915330510,800 BLOCK NW 83RD TER,Miami-Dade Police,9-15-2019 12:02 AM,"[-80.31409990000002, 25.8371047]",25.8354273
105,ROBBERY,PD190914330497,NW 19TH AVE & NW 62ND ST,Miami-Dade Police,9-14-2019 11:45 PM,"[-80.2338087, 25.84337]",25.8354273
106,ASSAULT,PD190914330417,5700 BLOCK NW 22ND AVE,Miami-Dade Police,9-14-2019 10:42 PM,"[-80.2212773, 25.8390226]",25.8354273
107,VEHICLE BREAK-IN/THEFT,PD190914330373,7200 BLOCK NW 36TH ST,Miami-Dade Police,9-14-2019 9:00 PM,"[-80.2410348, 25.8310866]",25.8354273
108,WEAPONS,PD190914330346,NW 86TH ST & N MIAMI AVE,Miami-Dade Police,9-14-2019 8:55 PM,"[-80.2505642, 25.7991296]",25.8354273
109,VEHICLE BREAK-IN/THEFT,PD190916332143,3500 BLOCK NW 71ST ST,Miami-Dade Police,9-14-2019 8:00 PM,"[-80.2110203, 25.8512056]",25.8354273
110,THEFT/LARCENY,PD190914330334,4900 BLOCK NW 27TH AVE,Miami-Dade Police,9-14-2019 6:21 PM,"[-80.22892689999999, 25.8316642]",25.8354273
111,VEHICLE BREAK-IN/THEFT,PD190916332360,7100 BLOCK NW 36TH AVE,Miami-Dade Police,9-14-2019 6:00 PM,"[-80.2331987, 25.8270446]",25.8354273
112,BURGLARY,PD190916332263,700 BLOCK NW 72ND ST,Miami-Dade Police,9-14-2019 5:00 PM,"[-80.3137593, 25.8088976]",25.8354273
113,MOTOR VEHICLE THEFT,PD190914330076,7000 BLOCK NW 27TH AVE,Miami-Dade Police,9-14-2019 4:40 PM,"[-80.19710719999999, 25.8538783]",25.8354273
114,ASSAULT,PD190914330073,6200 BLOCK NW 22ND AVE,Miami-Dade Police,9-14-2019 4:39 PM,"[-80.25412399999999, 25.8379489]",25.8354273
115,MOTOR VEHICLE THEFT,PD190915330792,6900 BLOCK SW 8TH ST,Miami-Dade Police,9-14-2019 3:00 PM,"[-80.2409097, 25.8194223]",25.8354273
116,THEFT/LARCENY,PD190914329922,4600 BLOCK NW 27TH AVE,Miami-Dade Police,9-14-2019 2:07 PM,"[-80.255616, 25.839042]",25.8354273
117,VANDALISM,PD190915330978,8200 BLOCK NW MIAMI CT,Miami-Dade Police,9-14-2019 2:00 PM,"[-80.2081099, 25.840818]",25.8354273
118,THEFT/LARCENY,PD190914329884,800 BLOCK NW 79TH ST,Miami-Dade Police,9-14-2019 1:33 PM,"[-80.2870509, 25.7958723]",25.8354273
119,MOTOR VEHICLE THEFT,PD190915330977,1200 BLOCK NW 79TH ST,Miami-Dade Police,9-14-2019 1:00 PM,"[-80.241987, 25.838071]",25.8354273
120,VANDALISM,PD190914329877,3200 BLOCK NW 79TH ST,Miami-Dade Police,9-14-2019 1:00 PM,"[-80.233373, 25.8317221]",25.8354273
121,ASSAULT,PD190914329838,2400 BLOCK NW 63RD ST,Miami-Dade Police,9-14-2019 12:30 PM,"[-80.3076655, 25.7627324]",25.8354273
122,VEHICLE BREAK-IN/THEFT,PD190914329792,2300 BLOCK NW 67TH ST,Miami-Dade Police,9-14-2019 11:30 AM,"[-80.2406013, 25.8164971]",25.8354273
123,THEFT/LARCENY,PD190914329744,2000 BLOCK NW 68TH TER,Miami-Dade Police,9-14-2019 11:18 AM,"[-80.1979976, 25.8496423]",25.8354273
124,ASSAULT,PD190914330407,NW 32ND AVE & NW 46TH ST,Miami-Dade Police,9-14-2019 10:00 AM,"[-80.2112051, 25.8467127]",25.8354273
125,VEHICLE BREAK-IN/THEFT,PD190914329669,600 BLOCK FLORIDA WAY,Miami-Dade Police,9-14-2019 9:30 AM,"[-80.2172986, 25.8467939]",25.8354273
126,ROBBERY,PD190914329403,1400 BLOCK NW 81ST ST,Miami-Dade Police,9-14-2019 1:09 AM,"[-80.2514956, 25.8431635]",25.8354273
127,ASSAULT,PD190914329388,7000 BLOCK NW 27TH AVE,Miami-Dade Police,9-14-2019 12:40 AM,"[-80.2371088, 25.8322469]",25.8354273
128,ROBBERY,PD190914330497,NW 19TH AVE & NW 62ND ST,Miami-Dade Police,9-14-2019 11:45 PM,"[-80.2870509, 25.7958723]",25.8354273
129,ASSAULT,PD190914330417,5700 BLOCK NW 22ND AVE,Miami-Dade Police,9-14-2019 10:42 PM,"[-80.2353335, 25.8352852]",25.8354273
130,VEHICLE BREAK-IN/THEFT,PD190914330373,7200 BLOCK NW 36TH ST,Miami-Dade Police,9-14-2019 9:00 PM,"[-80.2301476, 25.8366045]",25.8354273
131,WEAPONS,PD190914330346,NW 86TH ST & N MIAMI AVE,Miami-Dade Police,9-14-2019 8:55 PM,"[-80.248629, 25.8162214]",25.8354273
132,VEHICLE BREAK-IN/THEFT,PD190916332143,3500 BLOCK NW 71ST ST,Miami-Dade Police,9-14-2019 8:00 PM,"[-80.1748862, 25.7773447]",25.8354273
133,THEFT/LARCENY,PD190914330334,4900 BLOCK NW 27TH AVE,Miami-Dade Police,9-14-2019 6:21 PM,"[-80.221598, 25.8483582]",25.8354273
134,VEHICLE BREAK-IN/THEFT,PD190916332360,7100 BLOCK NW 36TH AVE,Miami-Dade Police,9-14-2019 6:00 PM,"[-80.241987, 25.838071]",25.8354273
135,BURGLARY,PD190916332263,700 BLOCK NW 72ND ST,Miami-Dade Police,9-14-2019 5:00 PM,"[-80.2870509, 25.7958723]",25.8354273
136,MOTOR VEHICLE THEFT,PD190914330076,7000 BLOCK NW 27TH AVE,Miami-Dade Police,9-14-2019 4:40 PM,"[-80.22892689999999, 25.8316642]",25.8354273
137,ASSAULT,PD190914330073,6200 BLOCK NW 22ND AVE,Miami-Dade Police,9-14-2019 4:39 PM,"[-80.2331987, 25.8270446]",25.8354273
138,MOTOR VEHICLE THEFT,PD190915330792,6900 BLOCK SW 8TH ST,Miami-Dade Police,9-14-2019 3:00 PM,"[-80.3137593, 25.8088976]",25.8354273
139,THEFT/LARCENY,PD190914329922,4600 BLOCK NW 27TH AVE,Miami-Dade Police,9-14-2019 2:07 PM,"[-80.19710719999999, 25.8538783]",25.8354273
140,VANDALISM,PD190915330978,8200 BLOCK NW MIAMI CT,Miami-Dade Police,9-14-2019 2:00 PM,"[-80.25412399999999, 25.8379489]",25.8354273
141,THEFT/LARCENY,PD190914329884,800 BLOCK NW 79TH ST,Miami-Dade Police,9-14-2019 1:33 PM,"[-80.2409097, 25.8194223]",25.8354273
142,VANDALISM,PD190914329877,3200 BLOCK NW 79TH ST,Miami-Dade Police,9-14-2019 1:00 PM,"[-80.255616, 25.839042]",25.8354273
143,MOTOR VEHICLE THEFT,PD190915330977,1200 BLOCK NW 79TH ST,Miami-Dade Police,9-14-2019 1:00 PM,"[-80.2081099, 25.840818]",25.8354273
144,ASSAULT,PD190914329838,2400 BLOCK NW 63RD ST,Miami-Dade Police,9-14-2019 12:30 PM,"[-80.2870509, 25.7958723]",25.8354273
145,VEHICLE BREAK-IN/THEFT,PD190914329792,2300 BLOCK NW 67TH ST,Miami-Dade Police,9-14-2019 11:30 AM,"[-80.241987, 25.838071]",25.8354273
146,THEFT/LARCENY,PD190914329744,2000 BLOCK NW 68TH TER,Miami-Dade Police,9-14-2019 11:18 AM,"[-80.233373, 25.8317221]",25.8354273
147,ASSAULT,PD190914330407,NW 32ND AVE & NW 46TH ST,Miami-Dade Police,9-14-2019 10:00 AM,"[-80.3076655, 25.7627324]",25.8354273
148,VEHICLE BREAK-IN/THEFT,PD190914329669,600 BLOCK FLORIDA WAY,Miami-Dade Police,9-14-2019 9:30 AM,"[-80.2406013, 25.8164971]",25.8354273
149,ROBBERY,PD190914329403,1400 BLOCK NW 81ST ST,Miami-Dade Police,9-14-2019 1:09 AM,"[-80.1979976, 25.8496423]",25.8354273
150,ASSAULT,PD190914329388,7000 BLOCK NW 27TH AVE,Miami-Dade Police,9-14-2019 12:40 AM,"[-80.2112051, 25.8467127]",25.8354273
151,ASSAULT,PD190913329343,7300 BLOCK NW 19TH CT,Miami-Dade Police,9-13-2019 11:51 PM,"[-80.2514956, 25.8431635]",25.8354273
152,BURGLARY,PD190914329845,7600 BLOCK NW 16TH AVE,Miami-Dade Police,9-13-2019 11:00 PM,"[-80.2172986, 25.8467939]",25.8354273
153,VANDALISM,PD190913329302,500 BLOCK NE 71ST ST,Miami-Dade Police,9-13-2019 10:54 PM,"[-80.2371088, 25.8322469]",25.8354273
154,FRAUD,PD190913329313,800 BLOCK NW 73RD ST,Miami-Dade Police,9-13-2019 10:36 PM,"[-80.2870509, 25.7958723]",25.8354273
155,VEHICLE BREAK-IN/THEFT,PD190914329974,5200 BLOCK NW 24TH PL,Miami-Dade Police,9-13-2019 10:00 PM,"[-80.2353335, 25.8352852]",25.8354273
156,VEHICLE BREAK-IN/THEFT,PD190913329139,3100 BLOCK NW 29TH ST,Miami-Dade Police,9-13-2019 7:45 PM,"[-80.2301476, 25.8366045]",25.8354273
157,MOTOR VEHICLE THEFT,PD190913329169,6200 BLOCK BLUE LAGOON DR,Miami-Dade Police,9-13-2019 7:30 PM,"[-80.248629, 25.8162214]",25.8354273
158,THEFT/LARCENY,PD190913329080,1000 BLOCK NW 79TH ST,Miami-Dade Police,9-13-2019 7:19 PM,"[-80.1748862, 25.7773447]",25.8354273
159,VEHICLE BREAK-IN/THEFT,PD190916332166,2900 BLOCK NW 72ND ST,Miami-Dade Police,9-13-2019 4:00 PM,"[-80.221598, 25.8483582]",25.8354273
160,ASSAULT,PD190913328816,MM WILKIE D FERGUSON,Miami-Dade Police,9-13-2019 3:30 PM,"[-80.241987, 25.838071]",25.8354273
161,THEFT/LARCENY,PD190914329822,5700 BLOCK SW 16TH ST,Miami-Dade Police,9-13-2019 3:00 PM,"[-80.2870509, 25.7958723]",25.8354273
162,THEFT/LARCENY,PD190917333760,NW 27TH AVE & NW 79TH ST,Miami-Dade Police,9-13-2019 3:00 PM,"[-80.31604209999999, 25.7906206]",25.8354273
163,ASSAULT,PD190913328847,5200 BLOCK NW 29TH AVE,Miami-Dade Police,9-13-2019 2:57 PM,"[-80.22454259999999, 25.8438836]",25.8354273
164,VEHICLE BREAK-IN/THEFT,PD190913328739,900 BLOCK NW 79TH ST,Miami-Dade Police,9-13-2019 2:06 PM,"[-80.1864925, 25.8402768]",25.8354273
